Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,sentiment
RT @BelengBeleng687: @Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_rad…,@FitraYouse,2024-11-14 03:09:54,in,,0,10,,cordova🇮🇩gain,"#gakfollowporno 
#KiriMinggirMenjauhDariIndonesia🇲🇨",32746,4153,4115,0,False,,,0
"RT @Cendana_20: BUMERANG
LAPOR MAS WAPRES
KEJAHATAN BPK JOKOWI SELAMA 10 TH
#LaporkanJokowiKeMasWapres 
#LaporkanJokowiKeMasWapres 
BAHWA J…",@zoelf1k4r,2024-11-14 03:09:38,in,,0,233,,Oepick,,14243,492,120,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@auliadistiani,2024-11-14 03:09:27,in,,0,305,,naul,,1628,636,294,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@qualiATEif,2024-11-14 03:09:13,in,,0,305,,vaaaaaan,"V IS LOOKING FOR INFORMANTS, URGENTLY NEEDED! | Kindly check my pinned please🥺",1703,71,62,0,False,,,0
"RT @Cendana_20: BUMERANG
LAPOR MAS WAPRES
KEJAHATAN BPK JOKOWI SELAMA 10 TH
#LaporkanJokowiKeMasWapres 
#LaporkanJokowiKeMasWapres 
BAHWA J…",@hdsambodo,2024-11-14 03:08:38,in,,0,233,,Hudi Sambodo,,240751,603,634,0,False,,,0
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@teasegar,2024-11-14 03:08:28,in,,0,3280,,rara🇵🇸 | TITIP SHOPEE VIDEO DM🥰,INFP | currently livin’ in a cruel world🤷🏻‍♀️,14787,587,386,0,False,,,7.14286
"RT @msaid_didu: Sengketa pisang.
Ada yg mau lapor ke layanan Lapor Mas Wapres https://t.co/vKJCx50sDR",@RMuhammadAli1,2024-11-14 03:08:24,in,,0,62,,R Muhammad Ali,,41199,491,168,0,False,,,12.5
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@anonreader08,2024-11-14 03:08:24,in,,0,2058,,Zekai Gaming,,4006,68,14,0,False,,,13.3333
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@imutimutmu,2024-11-14 03:08:20,in,,0,250,,Imut,"pencinta sastra dan bitcoin
#GakFollowPorno",128560,1313,1390,0,False,,,-7.69231
"RT @Cendana_20: BUMERANG
LAPOR MAS WAPRES
KEJAHATAN BPK JOKOWI SELAMA 10 TH
#LaporkanJokowiKeMasWapres 
#LaporkanJokowiKeMasWapres 
BAHWA J…",@andikaws,2024-11-14 03:08:05,in,,0,233,,andika,,93034,17,198,1,False,,,0
"RT @msaid_didu: Sengketa pisang.
Ada yg mau lapor ke layanan Lapor Mas Wapres https://t.co/vKJCx50sDR",@pejuangkantin99,2024-11-14 03:08:02,in,,0,62,,Pejuangkantin,Pejuang kantin SD,50380,480,424,0,False,,,12.5
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@R4Y99,2024-11-14 03:08:02,in,,0,250,,R4Y 🍉🍉🇲🇨🇵🇸,"🔞 NOPORN

#PERUBAHAN
#INDONESIANEEDREFORMASI",17236,2049,1203,4,False,,,-7.69231
